name,position,class_year,school,external_id,scoring_date,career_yprr,best_yprr,receiving_yprr,yards_after_contact_per_attempt,missed_tackles_per_attempt,ras
Kaden Prather,WR,2025,Maryland,PratKa00,2025-04-30,,,,,,
Konata Mumpfield,WR,2025,Pittsburgh,00-0040590,2025-04-30,,,,,,
Dominic Lovett,WR,2025,Georgia,00-0040241,2025-04-30,,,,,,
Junior Bergen,WR,2025,Montana,00-0040247,2025-04-30,,,,,,
Jeremiyah Love,RB,2026,Notre Dame,LOV121782,2026-04-30,,,,,,
Jadarian Price,RB,2026,Notre Dame,PRI206342,2026-04-30,,,,,,
Kaelon Black,RB,2026,Indiana,BLA097235,2026-04-30,,,,,,
Jonah Coleman,RB,2026,Washington,COL293648,2026-04-30,,,,,,
Mike Washington Jr.,RB,2026,Arkansas,WAS797326,2026-04-30,,,,,,
Emmett Johnson,RB,2026,Nebraska,JOH224817,2026-04-30,,,,,,
Nicholas Singleton,RB,2026,Penn St.,SingNi01,2026-04-30,,,,,,
Adam Randall,RB,2026,Clemson,RAN022436,2026-04-30,,,,,,
Kaytron Allen,RB,2026,Penn St.,ALL532376,2026-04-30,,,,,,
Demond Claiborne,RB,2026,Wake Forest,CLA041524,2026-04-30,,,,,,
Seth McGowan,RB,2026,Kentucky,MCG547540,2026-04-30,,,,,,
Jam Miller,RB,2026,Alabama,MIL303300,2026-04-30,,,,,,
Carnell Tate,WR,2026,Ohio St.,TAT143045,2026-04-30,,,,,,
Jordyn Tyson,WR,2026,Arizona St.,TYS405541,2026-04-30,,,,,,
Makai Lemon,WR,2026,USC,LEM694125,2026-04-30,,,,,,
